src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,flow_id
192.168.126.124,192.168.140.6,22,58477,6,2025-03-20 15:05:02,303451.0,843.6287901506338,6.5908499230518265,3.295424961525913,3.295424961525913,1,1,190,66,190.0,190.0,190.0,0.0,66.0,66.0,66.0,0.0,190,66,128.0,62.0,3844.0,20,20,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,128.0,502,2046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,66.0,0,1,1,190,66,192.168.126.124-192.168.140.6-22-58477-TCP
192.168.126.104,192.168.126.124,41991,4242,6,2025-03-20 15:05:02,2409022.0,496.46703101922685,6.226593198401675,3.7359559190410048,2.4906372793606697,9,6,692,504,146.0,66.0,76.88888888888889,24.7136689323695,144.0,66.0,84.0,27.227437142216186,146,66,79.73333333333333,25.983242462958486,675.1288888888889,180,120,20,2,172073.0,301346.0,70.0,148882.7456696808,2409022.0,602414.0,216.0,301127.75,212768.9784136482,2108000.0,602260.0,301366.0,421600.0,147100.78818687546,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,79.73333333333333,64492,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.88888888888889,84.0,0,9,6,692,504,192.168.126.104-192.168.126.124-41991-4242-TCP
