src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,flow_id,dicom_pdu_types,dicom_pdu_count,dicom.assoc.version_mean,dicom.assoc.version_max,dicom.assoc.version_min,dicom.assoc.ae.called,dicom.assoc.ae.calling,dicom.assoc.item.type,dicom.assoc.item.len,dicom.actx,dicom.pctx.id,dicom.pctx.abss.syntax,dicom.pctx.xfer.syntax,dicom.userinfo.uid,dicom.userinfo.version,dicom.max_pdu_len_mean,dicom.max_pdu_len_max,dicom.max_pdu_len_min,dicom.pdv.len,dicom.pdv.ctx,dicom.pdv.flags,dicom_pdu_len_mean,dicom_pdu_len_max,dicom_pdu_len_min,dicom_pdu_len_std,dicom_assoc_request_count,dicom_data_transfer_count,dicom.pdu.type,dicom.pdu.len,dicom_release_request_count,dicom_release_response_count,dicom.pctx.result,dicom_assoc_response_count
192.168.126.124,192.168.140.6,22,58553,6,2025-03-18 19:08:21,40459.0,6327.393163449417,49.432759089448574,24.716379544724287,24.716379544724287,1,1,190,66,190.0,190.0,190.0,0.0,66.0,66.0,66.0,0.0,190,66,128.0,62.0,3844.0,20,20,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,128.0,502,2046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,66.0,0,1,1,190,66,192.168.126.124-192.168.140.6-22-58553-TCP,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0
192.168.126.104,192.168.126.124,34451,4242,6,2025-03-18 19:08:25,104462.0,35668.47274607034,191.4571806015585,105.30144933085715,86.15573127070131,11,9,2017,1709,1155.0,66.0,183.3636363636364,309.19610509344824,742.0,66.0,189.88888888888889,232.48151393387744,1155,66,186.3,277.3323096936237,76913.21000000002,220,180,20,4,5498.0,42392.0,32.0,12526.675154287854,104462.0,43352.0,198.0,10446.2,16028.931454092628,104053.0,46501.0,308.0,13006.625,18367.36603284137,0,0,0,0,1,0,0,0,0,0,0,0.8181818181818182,186.3,64492,502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.3636363636364,189.88888888888889,0,11,9,2017,1709,192.168.126.104-192.168.126.124-34451-4242-TCP,"0x01,0x04,0x05",4.0,1.0,1.0,1.0,MyOrthanc       ,MODALITY        ,"0x10,0x20,0x30,0x40,0x40,0x40,0x40,0x20,0x30,0x40,0x40,0x40,0x40,0x20,0x30,0x40,0x40,0x40,0x20,0x30,0x40,0x40,0x40,0x20,0x30,0x40,0x40,0x40,0x20,0x30,0x40,0x40,0x40,0x20,0x30,0x40,0x40,0x40,0x20,0x30,0x40,0x40,0x40,0x40,0x50,0x51,0x52,0x55","21,118,17,17,19,22,19,128,27,17,19,22,19,103,25,17,19,22,103,25,17,19,22,106,28,17,19,22,103,25,17,19,22,103,25,17,19,22,128,27,17,19,22,19,62,4,32,14",DICOM Application Context Name (1.2.840.10008.3.1.1.1),"0x01,0x03,0x05,0x07,0x09,0x0b,0x0d,0x0f","Verification SOP Class (1.2.840.10008.1.1),Patient Root Query/Retrieve Information Model - MOVE (1.2.840.10008.5.1.4.1.2.1.2),CT Image Storage (1.2.840.10008.5.1.4.1.1.2),MR Image Storage (1.2.840.10008.5.1.4.1.1.4),X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1),Secondary Capture Image Storage (1.2.840.10008.5.1.4.1.1.7),Computed Radiography Image Storage (1.2.840.10008.5.1.4.1.1.1),Patient Root Query/Retrieve Information Model - FIND (1.2.840.10008.5.1.4.1.2.1.1)","Implicit VR Little Endian: Default Transfer Syntax for DICOM (1.2.840.10008.1.2),Explicit VR Little Endian (1.2.840.10008.1.2.1),Deflated Explicit VR Little Endian (1.2.840.10008.1.2.1.99),Explicit VR Big Endian (Retired) (1.2.840.10008.1.2.2),Implicit VR Little Endian: Default Transfer Syntax for DICOM (1.2.840.10008.1.2),Explicit VR Little Endian (1.2.840.10008.1.2.1),Deflated Explicit VR Little Endian (1.2.840.10008.1.2.1.99),Explicit VR Big Endian (Retired) (1.2.840.10008.1.2.2),Implicit VR Little Endian: Default Transfer Syntax for DICOM (1.2.840.10008.1.2),Explicit VR Little Endian (1.2.840.10008.1.2.1),JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50),Implicit VR Little Endian: Default Transfer Syntax for DICOM (1.2.840.10008.1.2),Explicit VR Little Endian (1.2.840.10008.1.2.1),JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50),Implicit VR Little Endian: Default Transfer Syntax for DICOM (1.2.840.10008.1.2),Explicit VR Little Endian (1.2.840.10008.1.2.1),JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50),Implicit VR Little Endian: Default Transfer Syntax for DICOM (1.2.840.10008.1.2),Explicit VR Little Endian (1.2.840.10008.1.2.1),JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50),Implicit VR Little Endian: Default Transfer Syntax for DICOM (1.2.840.10008.1.2),Explicit VR Little Endian (1.2.840.10008.1.2.1),JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50),Implicit VR Little Endian: Default Transfer Syntax for DICOM (1.2.840.10008.1.2),Explicit VR Little Endian (1.2.840.10008.1.2.1),Deflated Explicit VR Little Endian (1.2.840.10008.1.2.1.99),Explicit VR Big Endian (Retired) (1.2.840.10008.1.2.2)",1.2.826.0.1.3680043.9.3811.2.1.0,PYNETDICOM_210,16382.0,16382.0,16382.0,"90,74",15,"0x03,0x02",314.75,1083.0,4.0,513.6648550692692,1.0,2.0,0x04,"94,78",1.0,0.0,,0.0
192.168.126.104,192.168.126.124,36161,4242,6,2025-03-18 19:08:25,240678.0,17068.448300218548,87.25350883753397,45.704218914898746,41.549289922635225,11,10,2705,1403,1825.0,66.0,245.9090909090909,500.82267857186815,661.0,66.0,140.3,176.9327838474261,1825,66,195.6190476190476,386.0996017795552,149072.9024943311,220,200,20,4,12033.9,126743.0,30.0,29045.24067881001,240678.0,167350.0,250.0,24067.8,49289.91928944498,240474.0,126743.0,159.0,26719.33333333333,39395.45610008004,0,0,0,0,1,0,0,0,0,0,0,0.9090909090909092,195.6190476190476,64492,502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.9090909090909,140.3,0,11,10,2705,1403,192.168.126.104-192.168.126.124-36161-4242-TCP,"0x01,0x04,0x05",4.0,1.0,1.0,1.0,MyOrthanc       ,MODALITY        ,"0x10,0x20,0x30,0x40,0x40,0x40,0x40,0x20,0x30,0x40,0x40,0x40,0x40,0x20,0x30,0x40,0x40,0x40,0x20,0x30,0x40,0x40,0x40,0x20,0x30,0x40,0x40,0x40,0x20,0x30,0x40,0x40,0x40,0x20,0x30,0x40,0x40,0x40,0x20,0x30,0x40,0x40,0x40,0x40,0x20,0x30,0x40,0x40,0x40,0x40,0x20,0x30,0x40,0x40,0x40,0x20,0x30,0x40,0x40,0x40,0x20,0x30,0x40,0x40,0x40,0x20,0x30,0x40,0x40,0x40,0x20,0x30,0x40,0x40,0x40,0x50,0x51,0x52,0x55","21,118,17,17,19,22,19,128,27,17,19,22,19,103,25,17,19,22,103,25,17,19,22,106,28,17,19,22,103,25,17,19,22,103,25,17,19,22,128,27,17,19,22,19,128,27,17,19,22,19,103,25,17,19,22,103,25,17,19,22,106,28,17,19,22,103,25,17,19,22,103,25,17,19,22,62,4,32,14",DICOM Application Context Name (1.2.840.10008.3.1.1.1),"0x01,0x03,0x05,0x07,0x09,0x0b,0x0d,0x0f,0x11,0x13,0x15,0x17,0x19,0x1b","Verification SOP Class (1.2.840.10008.1.1),Patient Root Query/Retrieve Information Model - MOVE (1.2.840.10008.5.1.4.1.2.1.2),CT Image Storage (1.2.840.10008.5.1.4.1.1.2),MR Image Storage (1.2.840.10008.5.1.4.1.1.4),X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1),Secondary Capture Image Storage (1.2.840.10008.5.1.4.1.1.7),Computed Radiography Image Storage (1.2.840.10008.5.1.4.1.1.1),Patient Root Query/Retrieve Information Model - FIND (1.2.840.10008.5.1.4.1.2.1.1),Patient Root Query/Retrieve Information Model - MOVE (1.2.840.10008.5.1.4.1.2.1.2),CT Image Storage (1.2.840.10008.5.1.4.1.1.2),MR Image Storage (1.2.840.10008.5.1.4.1.1.4),X-Ray Angiographic Image Storage (1.2.840.10008.5.1.4.1.1.12.1),Secondary Capture Image Storage (1.2.840.10008.5.1.4.1.1.7),Computed Radiography Image Storage (1.2.840.10008.5.1.4.1.1.1)","Implicit VR Little Endian: Default Transfer Syntax for DICOM (1.2.840.10008.1.2),Explicit VR Little Endian (1.2.840.10008.1.2.1),Deflated Explicit VR Little Endian (1.2.840.10008.1.2.1.99),Explicit VR Big Endian (Retired) (1.2.840.10008.1.2.2),Implicit VR Little Endian: Default Transfer Syntax for DICOM (1.2.840.10008.1.2),Explicit VR Little Endian (1.2.840.10008.1.2.1),Deflated Explicit VR Little Endian (1.2.840.10008.1.2.1.99),Explicit VR Big Endian (Retired) (1.2.840.10008.1.2.2),Implicit VR Little Endian: Default Transfer Syntax for DICOM (1.2.840.10008.1.2),Explicit VR Little Endian (1.2.840.10008.1.2.1),JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50),Implicit VR Little Endian: Default Transfer Syntax for DICOM (1.2.840.10008.1.2),Explicit VR Little Endian (1.2.840.10008.1.2.1),JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50),Implicit VR Little Endian: Default Transfer Syntax for DICOM (1.2.840.10008.1.2),Explicit VR Little Endian (1.2.840.10008.1.2.1),JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50),Implicit VR Little Endian: Default Transfer Syntax for DICOM (1.2.840.10008.1.2),Explicit VR Little Endian (1.2.840.10008.1.2.1),JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50),Implicit VR Little Endian: Default Transfer Syntax for DICOM (1.2.840.10008.1.2),Explicit VR Little Endian (1.2.840.10008.1.2.1),JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50),Implicit VR Little Endian: Default Transfer Syntax for DICOM (1.2.840.10008.1.2),Explicit VR Little Endian (1.2.840.10008.1.2.1),Deflated Explicit VR Little Endian (1.2.840.10008.1.2.1.99),Explicit VR Big Endian (Retired) (1.2.840.10008.1.2.2),Implicit VR Little Endian: Default Transfer Syntax for DICOM (1.2.840.10008.1.2),Explicit VR Little Endian (1.2.840.10008.1.2.1),Deflated Explicit VR Little Endian (1.2.840.10008.1.2.1.99),Explicit VR Big Endian (Retired) (1.2.840.10008.1.2.2),Implicit VR Little Endian: Default Transfer Syntax for DICOM (1.2.840.10008.1.2),Explicit VR Little Endian (1.2.840.10008.1.2.1),JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50),Implicit VR Little Endian: Default Transfer Syntax for DICOM (1.2.840.10008.1.2),Explicit VR Little Endian (1.2.840.10008.1.2.1),JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50),Implicit VR Little Endian: Default Transfer Syntax for DICOM (1.2.840.10008.1.2),Explicit VR Little Endian (1.2.840.10008.1.2.1),JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50),Implicit VR Little Endian: Default Transfer Syntax for DICOM (1.2.840.10008.1.2),Explicit VR Little Endian (1.2.840.10008.1.2.1),JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50),Implicit VR Little Endian: Default Transfer Syntax for DICOM (1.2.840.10008.1.2),Explicit VR Little Endian (1.2.840.10008.1.2.1),JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression (1.2.840.10008.1.2.4.50)",1.2.826.0.1.3680043.9.3811.2.1.0,PYNETDICOM_210,16382.0,16382.0,16382.0,"106,76",3,"0x03,0x02",486.75,1753.0,4.0,845.3446535782512,1.0,2.0,0x04,"110,80",1.0,0.0,,0.0
