src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.126.124,192.168.140.6,22,58553,6,2025-03-18 18:45:40,38887.0,6583.1768971635765,51.43106950909044,25.71553475454522,25.71553475454522,1,1,190,66,190.0,190.0,190.0,0.0,66.0,66.0,66.0,0.0,190,66,128.0,62.0,3844.0,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,128.0,502,2046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,66.0,0,1,1,190,66
192.168.126.104,192.168.126.124,42411,4242,6,2025-03-18 18:45:43,235575.0,17255.651066539318,93.38851745728536,50.93919134033747,42.449326116947894,12,10,2693,1372,1693.0,66.0,224.41666666666666,444.4013685722502,630.0,66.0,137.2,168.52109660217621,1693,66,184.77272727272728,350.0257044870461,122517.9938016529,240,200,20,5,11217.857142857143,96926.0,12.0,23875.362268576835,235575.0,96959.0,190.0,21415.909090909092,34178.238322211946,235373.0,96955.0,424.0,26152.555555555555,31710.85699501079,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,184.77272727272728,64492,502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,4.0,0.0,0.0,1876.94044594976,0.0,224.41666666666666,137.2,0,12,10,2693,1372
192.168.126.124,192.168.126.104,44728,4242,6,2025-03-18 18:45:43,132886.0,33812990.08172418,1602.8776545309513,985.8073837725569,617.0702707583944,131,82,4483712,9561,64006.0,66.0,34226.80916030534,23743.36572317294,4045.0,66.0,116.59756097560975,436.8091021274263,64006,66,21095.17840375587,24945.426956712512,622274326.0526792,2620,1640,20,127,626.8207547169811,43237.0,0.0,3892.5059379922714,132803.0,43558.0,4.0,1021.5615384615385,5033.174227071738,132543.0,43237.0,0.0,1636.3333333333333,6212.309147029918,0,0,0,0,1,0,0,0,0,0,0,0.6259541984732825,21095.17840375587,64492,4854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4465514.0,124.0,0.0,0.0,125874224.82805277,0.0,34226.80916030534,116.59756097560975,0,131,82,4483712,9561
192.168.126.124,192.168.140.6,22,58552,6,2025-03-18 18:45:44,131677.0,1883.396492933466,15.188681394624727,7.594340697312363,7.594340697312363,1,1,182,66,182.0,182.0,182.0,0.0,66.0,66.0,66.0,0.0,182,66,124.0,58.0,3364.0,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,124.0,502,2046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,66.0,0,1,1,182,66
