src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.126.124,192.168.140.6,22,58553,6,2025-03-18 19:08:21,40459.0,6327.393163449417,49.432759089448574,24.716379544724287,24.716379544724287,1,1,190,66,190.0,190.0,190.0,0.0,66.0,66.0,66.0,0.0,190,66,128.0,62.0,3844.0,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,128.0,502,2046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,66.0,0,1,1,190,66
192.168.126.104,192.168.126.124,34451,4242,6,2025-03-18 19:08:25,104462.0,35668.47274607034,191.45718060155846,105.30144933085715,86.15573127070131,11,9,2017,1709,1155.0,66.0,183.36363636363637,309.19610509344824,742.0,66.0,189.88888888888889,232.48151393387744,1155,66,186.3,277.3323096936237,76913.21000000002,220,180,20,4,5498.0,42392.0,32.0,12526.675154287854,104462.0,43352.0,198.0,10446.2,16028.931454092628,104053.0,46501.0,308.0,13006.625,18367.36603284137,0,0,0,0,1,0,0,0,0,0,0,0.8181818181818182,186.3,64492,502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.36363636363637,189.88888888888889,0,11,9,2017,1709
192.168.126.104,192.168.126.124,36161,4242,6,2025-03-18 19:08:25,240678.0,17068.448300218548,87.25350883753397,45.704218914898746,41.549289922635225,11,10,2705,1403,1825.0,66.0,245.9090909090909,500.82267857186815,661.0,66.0,140.3,176.9327838474261,1825,66,195.61904761904762,386.0996017795552,149072.9024943311,220,200,20,4,12033.9,126743.0,30.0,29045.240678810012,240678.0,167350.0,250.0,24067.8,49289.91928944498,240474.0,126743.0,159.0,26719.333333333332,39395.45610008004,0,0,0,0,1,0,0,0,0,0,0,0.9090909090909091,195.61904761904762,64492,502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.9090909090909,140.3,0,11,10,2705,1403
192.168.126.124,192.168.126.104,42646,4242,6,2025-03-18 19:08:25,125386.0,35831312.905747056,1634.9512704767678,980.9707622860607,653.9805081907072,123,82,4483184,9561,64006.0,66.0,36448.650406504064,23962.498551126588,4045.0,66.0,116.59756097560975,436.8091021274263,64006,66,21915.829268292684,25717.726538657964,661401458.3171922,2460,1640,20,119,614.6372549019608,40043.0,0.0,3850.3998411909697,125131.0,40217.0,5.0,1025.6639344262296,5267.825996682333,124973.0,40043.0,0.0,1542.8765432098764,6023.081708619687,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,21915.829268292684,64492,10393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4465514.0,116.0,0.0,0.0,204436844.755757,0.0,36448.650406504064,116.59756097560975,0,123,82,4483184,9561
192.168.126.104,192.168.126.124,46377,4242,6,2025-03-18 19:08:25,473012.0,8828.528663120598,46.51044793789587,25.36933523885229,21.14111269904358,12,10,2773,1403,1825.0,66.0,231.08333333333334,482.0455473523454,661.0,66.0,140.3,176.9327838474261,1825,66,189.8181818181818,378.1787259488966,143019.14876033063,240,200,20,4,22524.380952380954,315910.0,32.0,67774.37808007233,473012.0,359333.0,163.0,43001.09090909091,101902.51768542374,472852.0,315910.0,176.0,52539.11111111111,95902.8116045318,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,189.8181818181818,64492,502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.08333333333334,140.3,0,12,10,2773,1403
192.168.126.124,192.168.126.104,42660,4242,6,2025-03-18 19:08:25,310782.0,81319513.3566294,3124.3765726457773,1937.0491212489783,1187.327451396799,602,369,25244136,28505,64006.0,66.0,41933.78073089701,22112.05398345444,4045.0,66.0,77.24932249322494,206.98916001578354,64006,66,26027.43666323378,26756.745631556492,715923436.7918174,12040,7380,20,597,320.3938144329897,122255.0,0.0,4247.687128522699,310500.0,122255.0,2.0,516.6389351081531,5395.894903356447,310507.0,122485.0,0.0,843.7690217391304,6877.082804931766,0,0,0,0,1,0,0,0,0,0,0,0.6129568106312292,26027.43666323378,64492,8339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25194852.0,594.0,0.0,0.0,221182091.12457204,0.0,41933.78073089701,77.24932249322494,0,602,369,25244136,28505
