ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto
1742321305.723342,CPPmju2t0kNvrsdn46,192.168.126.124,42646,192.168.126.104,4242,tcp,-,0.125131,4475058,4141,SF,T,T,0,ShADadwfF,123,4481462,82,8413,-,6
1742321305.665438,CDWaen3Jd5Tuu8uQ8b,192.168.126.104,36161,192.168.126.124,4242,tcp,-,0.240543,1971,735,SF,T,T,0,ShADadFf,11,2551,10,1263,-,6
1742321305.540254,C452B54ZuuDZgWJMpc,192.168.126.104,34451,192.168.126.124,4242,tcp,-,0.104144,1283,1107,SF,T,T,0,ShADadFf,11,1863,9,1583,-,6
1742321305.979645,COPhPZ1wAsimK1nwfh,192.168.126.124,42660,192.168.126.104,4242,tcp,-,0.310500,25204396,4143,SF,T,T,0,ShADadwwfF,602,25235708,369,23339,-,6
1742321305.919811,CDcI5R3Pxcqmfv5kc2,192.168.126.104,46377,192.168.126.124,4242,tcp,-,0.472938,1973,735,SF,T,T,0,ShADadFf,12,2605,10,1263,-,6
1742321301.967352,C6evFaHGtoiVrgcZ,192.168.140.6,58553,192.168.126.124,22,tcp,-,0.040459,0,124,OTH,T,T,0,^dA,1,52,1,176,-,6
