ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto
1742308017.674034,Cwi47E4w4JPERcwOi4,192.168.126.104,43221,192.168.126.124,4242,tcp,-,0.110513,605,1019,SF,T,T,0,ShADadFf,11,1185,9,1495,-,6
1742308014.557084,CQqNOz4HH7m87xDh5a,192.168.140.6,51375,192.168.126.124,22,tcp,-,0.033048,0,124,OTH,T,T,0,^dA,1,52,1,176,-,6
